time,open,high,low,close,volume
2025-07-22 12:40:00+00:00,1.16896,1.16898,1.16874,1.16885,453.0
2025-07-22 12:45:00+00:00,1.16885,1.16908,1.16842,1.1689,800.0
2025-07-22 12:50:00+00:00,1.1689,1.16911,1.16832,1.16906,853.0
2025-07-22 12:55:00+00:00,1.16906,1.16942,1.16888,1.16906,793.0
2025-07-22 13:00:00+00:00,1.16906,1.16966,1.16905,1.16906,759.0
2025-07-22 13:05:00+00:00,1.16905,1.16918,1.16837,1.16842,589.0
2025-07-22 13:10:00+00:00,1.1684,1.16845,1.16788,1.16831,820.0
2025-07-22 13:15:00+00:00,1.1683,1.16884,1.16816,1.16838,603.0
2025-07-22 13:20:00+00:00,1.16839,1.1691,1.16839,1.1691,685.0
2025-07-22 13:25:00+00:00,1.16909,1.16926,1.16874,1.16888,627.0
2025-07-22 13:30:00+00:00,1.16887,1.16926,1.16864,1.16876,832.0
2025-07-22 13:35:00+00:00,1.16872,1.1691,1.1686,1.1691,693.0
2025-07-22 13:40:00+00:00,1.1691,1.17018,1.169,1.16994,980.0
2025-07-22 13:45:00+00:00,1.16994,1.17002,1.1695,1.16986,710.0
2025-07-22 13:50:00+00:00,1.16987,1.17043,1.16976,1.17036,1062.0
2025-07-22 13:55:00+00:00,1.17036,1.17046,1.17015,1.17043,984.0
2025-07-22 14:00:00+00:00,1.17042,1.17048,1.16963,1.16972,1022.0
2025-07-22 14:05:00+00:00,1.16972,1.16979,1.1691,1.16912,787.0
2025-07-22 14:10:00+00:00,1.16914,1.16996,1.16913,1.16956,867.0
2025-07-22 14:15:00+00:00,1.16956,1.17006,1.16952,1.16962,706.0
2025-07-22 14:20:00+00:00,1.16962,1.17011,1.16962,1.16978,582.0
2025-07-22 14:25:00+00:00,1.16978,1.17012,1.16972,1.16992,743.0
2025-07-22 14:30:00+00:00,1.16992,1.17027,1.16985,1.16996,771.0
2025-07-22 14:35:00+00:00,1.16998,1.17046,1.16996,1.17006,759.0
2025-07-22 14:40:00+00:00,1.17006,1.17068,1.17006,1.17062,742.0
2025-07-22 14:45:00+00:00,1.1706,1.1716,1.17038,1.17142,1008.0
2025-07-22 14:50:00+00:00,1.17141,1.1725,1.17138,1.17246,1698.0
2025-07-22 14:55:00+00:00,1.17247,1.17267,1.17195,1.17222,2709.0
2025-07-22 15:00:00+00:00,1.17223,1.17228,1.17172,1.17174,1895.0
2025-07-22 15:05:00+00:00,1.17174,1.1719,1.17146,1.17181,810.0
2025-07-22 15:10:00+00:00,1.17182,1.1733,1.17182,1.17321,1275.0
2025-07-22 15:15:00+00:00,1.1732,1.17373,1.17294,1.17352,772.0
2025-07-22 15:20:00+00:00,1.17352,1.17392,1.17344,1.17364,713.0
2025-07-22 15:25:00+00:00,1.17366,1.1737,1.17332,1.17334,812.0
2025-07-22 15:30:00+00:00,1.17334,1.17359,1.17311,1.17356,767.0
2025-07-22 15:35:00+00:00,1.17356,1.17466,1.17342,1.17429,899.0
2025-07-22 15:40:00+00:00,1.1743,1.17444,1.17396,1.17418,746.0
2025-07-22 15:45:00+00:00,1.1742,1.17434,1.17388,1.17398,695.0
2025-07-22 15:50:00+00:00,1.17398,1.17448,1.17388,1.17446,621.0
2025-07-22 15:55:00+00:00,1.17446,1.17492,1.17438,1.1748,579.0
2025-07-22 16:00:00+00:00,1.17483,1.17491,1.17446,1.17478,767.0
2025-07-22 16:05:00+00:00,1.1748,1.17597,1.17476,1.17564,1137.0
2025-07-22 16:10:00+00:00,1.17563,1.17593,1.17541,1.17552,692.0
